Name,Status,Province,Population
Jose Carlos Mariategui,Urban Locality,Chucuito,551
Juki Lamparasi,Locality,Lampa,364
Juli,Urban Main Locality,Chucuito,"8,566"
Juliaca,Urban Main Locality,San Román,"223,022"
Juncal,Main Locality,Puno,307
Jurinsaya Aniago,Locality,Azangaro,229
Kajje,Locality,Chucuito,234
Kakachi,Urban Locality,Huancané,190
Kakani,Locality,Moho,225
Kana,Locality,Carabaya,501
Kanchi Orccotaqui,Locality,Carabaya,253
Kasani,Locality,Yunguyo,200
Kelluyo,Main Locality,Chucuito,925
Kily Yanapata,Locality,Yunguyo,310
Kunurama Alto Llapha,Urban Locality,Melgar,222
Lacaya,Locality,El Collao,262
Lacay Parque,Locality,Azangaro,253
Lampa,Urban Main Locality,Lampa,"5,695"
Lampa Chico,Locality,Chucuito,328
Lampa Grande,Locality,Chucuito,485
Lampa Putuma,Locality,Chucuito,595
Lampayuni,Locality,Puno,261
Lanlacuni Bajo,Main Locality,Carabaya,"1,628"
Laqueque Llamani,Locality,Sandia,298
Laraqueri,Urban Main Locality,Puno,"2,221"
Larimayo,Urban Locality,Melgar,737
La Rinconada Ana Maria (La Rinconada),Urban Locality,San Antonio de Putina,"7,077"
Larkas,Locality,Lampa,271
Lechemayo,Locality,Carabaya,823
Lechemayo Chico,Locality,Carabaya,393
Levita (Livita),Locality,Carabaya,200
Limbani,Main Locality,Sandia,"1,672"
Llachahui Carata,Locality,Puno,249
Llachon Central,Locality,Puno,360
Llallahua Pacchapata,Locality,Azangaro,313
Llalli,Main Locality,Melgar,"1,855"
Llanca,Locality,Lampa,220
Llaquepa,Locality,Chucuito,688
Llungo,Locality,Puno,285
Loromayo [in: Ayapata district],Locality,Carabaya,514
Loromayo [in: San Gabán district],Locality,Carabaya,247
Luquina Grande,Locality,Puno,201
Macari,Urban Main Locality,Melgar,"2,650"
Machaca Huyo,Locality,Chucuito,229
Machaca Isla,Locality,Azangaro,413
Machacmarca,Locality,Puno,252
Machariri Central,Locality,Azangaro,210
Macusani,Urban Main Locality,Carabaya,"11,242"
Mañazo,Urban Main Locality,Puno,"2,641"
Manoa (Puerto Manoa Oroya),Locality,Carabaya,"1,292"
Maquercota,Locality,El Collao,254
Marca Esqueña,Locality,Puno,230
Marcaja,Main Locality,Yunguyo,457
Marquiri,Locality,Puno,262
Massiapo,Main Locality,Sandia,"1,308"
Mataro Chico,Locality,Azangaro,266
Mazo Cruz,Main Locality,El Collao,"1,070"
Mercedes,Locality,Azangaro,233
Meseta Baja,Locality,Azangaro,216
Moho,Urban Main Locality,Moho,"2,360"
Molino,Locality,Puno,269
Molino,Locality,Chucuito,411
Moro Cachi,Locality,San Román,490
Mororia,Locality,Sandia,240
Mucra,Locality,San Román,248
Mucra Dos,Locality,San Román,"1,211"
Mulla Contihueco Hirpani,Locality,El Collao,205
Muñani,Main Locality,Azangaro,"2,087"
Muni,Locality,Huancané,287
Muni Chico,Locality,Azangaro,294
Muni Grande,Locality,Azangaro,221
Ñacoreque Grande,Locality,Sandia,203
Natividad Ccaccachi,Locality,San Román,483
Nequeneque,Locality,Azangaro,226
Nicasio,Main Locality,Lampa,359
Ninantaya,Urban Locality,Moho,375
Ñuñoa,Urban Main Locality,Melgar,"4,732"
Occopampa,Urban Locality,Moho,243
Ocoña,Locality,El Collao,266
Ocuviri,Main Locality,Lampa,720
